Relationship Focus,Adversarial Disposition,Target Relationship Focus,Target Adversarial Disposition Focus,Script Function (ongoing),Strategy ,Phrases en,Phrase de,Search tokens en,Search tokens de,Example en 1,Example en 2,Example en 3,Example de 1,Example de 2,Example de 3
low,high,low,low,Bargaining,Auf Gemeinsamkeiten verweisen,You are working towards a similar goal;  You come from a similar background,Sie arbeiten auf ein ähnliches Ziel hin; Sie kommen aus einem ähnlichen Umfeld,common goal,gemeinsames Ziel,,,,,,
low,high,low,low,Bargaining,Gemeinsamen Freund/Feind finden,You have a common enemy,Sie haben einen gemeinsamen Feind,common enemy,gemeinsamer Feind,,,,,,
low,high,low,low,Bargaining,Gemeinsame Identität,As […] you should focus on your similarities instead of your differences.,Als [...] sollten Sie sich auf Ihre Gemeinsamkeiten und nicht auf Ihre Unterschiede konzentrieren.,concentrate on common,sich auf das Gemeinsame konzentrieren,,,,,,
low,high,low,low,Bargaining,Kompromiss finden/ Diskussion  in Frieden  beenden,Let’s agree to disagree  ,"Einigen wir uns darauf, unterschiedlicher Meinung zu sein  ",(Let OR let us) agree disagree;,(Lassen Sie oder lassen Sie uns) zustimmen nicht zustimmen;,">>’@MakinCryptoCash @investvoyager Not really but we can agree to disagree. For the average person, there is no way they can outperform Bitcoin by trying to time entry and exit of alts‘",>> ‘@BeverWhatever Maybe if we can agree to disagree I have no beef with anyone with differing opinions like yours.’,>> ‘RT @MadisonSiriusXM: Agree or disagree?\n\nPresident Biden and Congress can honor Juneteenth by passing the law to study reparations’,,,
low,high,low,low,Bargaining,Perspektive anderer verstehen/nachvollziehen,You have a valid point,Sie haben einen guten Standpunkt,valid point,gültiger Punkt,>>‘ @RevRichardColes Yes @RevRichardColes this is a very valid point. I can see your way of thinking regarding this horrendous security wire I really believe your on to something here Rev.... Lads blockade the beaches!! ‘,>> ‚Valid point. I have many disagreements with RJD but Tejaswi is logical here. https://t.co/vJmOVAkEnO ‘,,,,
low,high,low,low,Bargaining,"Aufforderung, eigene Meinung zu erläutern",Can you maybe explain that further; Why do you feel that way? ,Könnten Sie das vielleicht näher erläutern? Warum denken Sie so? ,explain further; feel that way,weiter erklären; so fühlen,">> @campmark and 
@ScottyUnchained Why do you feel that way? Full disclosure, my family has several. I carry one almost every where I can.  (Antwort auf Diskussion über gun control)

>>  ",,,,,
low,high,low,low,Bargaining,Positives Sentiment einbauen (Lob/Anerkennung an beide Seiten),Both sides have good points; These are great points!; You seem to be smart people who can figure this out.,"Beide Seiten haben gute Argumente; das sind großartige Argumente!; Sie scheinen kluge Leute zu sein, die das lösen können.",both sides good point; great points; smart people figure out,beide Seiten gute Argumente; großartige Argumente; kluge Leute finden es heraus,,,,,,
high ,low,low,low,Relationship Maintenance,Improve relationship,"Why are you so personal about this?;All here are human and have feelings (except me, I am a bot);It does not make sense to make this personal with everyone being anonymous!","Alle hier sind Menschen und haben Gefühle (außer mir, ich bin ein Bot); Es macht keinen Sinn, dies persönlich zu machen, wenn alle anonym sind!",personal; human feelings; personal anonymous,persönlich; menschliche Gefühle; persönliche Anonymität,,,,,,
high ,low,low,low,Relationship Maintenance,Auf das Thema zurückführen,"Perhaps we could get back to the main point;Let’s focus on the Issue at hand, Stay on the topic, please! ","Vielleicht könnten wir zum Hauptthema zurückkehren;Konzentrieren wir uns auf das vorliegende Thema, bleiben Sie bitte beim Thema! ",main point; focus issue; stay on topic,Hauptpunkt; Schwerpunktthema; beim Thema bleiben,,,,,,
high ,high,low,high,Open Conflict,Auf das Thema zurückführen,"Perhaps we could get back to the main point;Let’s focus on the Issue at hand,Stay on the topic, please!;What are you talking about! Can you explain it to me?","Vielleicht könnten wir zum Hauptpunkt zurückkehren;Konzentrieren wir uns auf das vorliegende Thema, bleiben Sie bitte beim Thema!;Wovon reden Sie? Können Sie mir das erklären?",get back main point; focus on issue; explain to me talking about,"zurück zum Hauptpunkt; Fokus auf das Thema; erklären, worüber ich spreche",,,,,,
high ,high,low,high,Open Conflict,Verantwortlichkeit von angegriffener Person hinterfragen, Do you think the Person you’re insulting is responsible for the Issue/Problem? ," Denken Sie, dass die Person, die Sie beleidigen, für das Problem verantwortlich ist? ",responsible insult,verantwortungsvolle Beleidigung,,,,,,
high ,high,low,high,Open Conflict,Tone Policing, Let’s focus on Constructive Critisism , Konzentrieren wir uns auf konstruktive Kritik ,constructive criticism,konstruktive Kritik,,,,,,
high ,high,low,high,Open Conflict,Defuse tentions,Calm Down! Why are you so angry?; Insulting each other does not help!,Beruhigen Sie sich! Warum sind Sie so wütend?; Sich gegenseitig zu beleidigen hilft nicht weiter!,calm down,beruhigen,,,,,,
high ,high,low,low,Open Conflict,Focus on arguments,What are your arguments for your respective positions?;Step back from your position and explain what you really want!,"Was sind eure Argumente für eure jeweiligen Positionen?;Tretet von eurem Standpunkt zurück und erklärt, was ihr wirklich wollt!",arguments position; step back explain,Argumente Position; zurücktreten erklären,,,,,,
high,high,high,low,Open Conflict,Point of differing interest structures,What do you hope to get out of this?,Was erhoffen Sie sich von der Sache?,stake OR hope ,Einsatz OR Hoffnung ,,,,,,
low,high,low,high,Bargaining,Increase Bargaining Space,"Are there more aspects that need to be included?; In a perfect world, what would be the biggest common denominator?; How do we move forwards?","Gibt es weitere Aspekte, die einbezogen werden müssen?; Was wäre in einer perfekten Welt der größte gemeinsame Nenner?; Wie kommen wir voran?",(other OR more) aspects; move wardwards,(andere OR mehr) Aspekte; sich nach vorne bewegen,,,,,,
low,low,low,low,Argumentation,Support Consensus Building,What are common assumptions you share?; Which of the arguments presented above is better?;What can we agree upon?,"Welches sind die gemeinsamen Annahmen, die Sie teilen? Welches der oben genannten Argumente ist besser?",common assumptions; arguments presented better; agree upon,gemeinsame Annahmen; Argumente besser darstellen; zustimmen,,,,,,
low,low,low,low,Consensus building,Summarize important points,My takeaways from this are; To recap what has been said; in summary…,Meine Schlussfolgerungen daraus sind: Um das Gesagte noch einmal zusammenzufassen...,recap;summary,Rekapitulieren;Zusammenfassung,,,,,,
low,low,low,high,Unproductive Agreement,Invite new perspectives,I am happy to hear any opinion; curious to hear; any comments;any questions,Ich freue mich über jede Meinung und bin neugierig auf Kommentare und Fragen.,hear opinion; curious to hear; any comments; any questions,Meinung hören; neugierig sein; Kommentare; Fragen,,,,,,
